GH_Site,Program,Sub_Line_Name,Uph,boH_Qty,Working_Hrs,Remote_Site_Cap_Demand,Yield,Comment
LXKS,D17,CSA Cyclone flex-UIC 2683,,725,22,4560,,
LXKS,J620,FATP||OQC||,310,,22,6460,0.99,
